OFFER,RETAILER,BRAND,BRAND_BELONGS_TO_CATEGORY,OFFER_clean,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO,IS_CHILD_CATEGORY_TO_compli,training_str
Spend $5 in-store at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,COOKING & BAKING,,COOKING & BAKING,PANTRY,," CASEYS GENERAL STORE CASEYS GENERAL STORE COOKING & BAKING, COOKING & BAKING"
Spend $5 on brisket mac & cheese sandwich OR other single-serve prepared food item,CASEYS GENERAL STORE,CASEYS GENERAL STORE,COOKING & BAKING,Brisket Mac Cheese Sandwich Single Serve Prepared Food Item,COOKING & BAKING,PANTRY,,"Brisket Mac Cheese Sandwich Single Serve Prepared Food Item CASEYS GENERAL STORE CASEYS GENERAL STORE COOKING & BAKING, COOKING & BAKING"
Spend $5 on single-serve prepared food items at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,COOKING & BAKING,Single Serve Prepared Food Items,COOKING & BAKING,PANTRY,,"Single Serve Prepared Food Items CASEYS GENERAL STORE CASEYS GENERAL STORE COOKING & BAKING, COOKING & BAKING"
Spend $60 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,FROZEN APPETIZERS,,FROZEN APPETIZERS,FROZEN,FROZEN," TGI FRIDAYS TGI FRIDAYS FROZEN APPETIZERS, FROZEN"
"TWIX®, select sizes",,TWIX,CANDY,,CANDY,SNACKS,," TWIX   CANDY, CANDY"
"TWIX®, select varieties",,TWIX,CANDY,,CANDY,SNACKS,," TWIX   CANDY, CANDY"
Talenti Mini Bars,,TALENTI,FROZEN MEALS,Mini Bars,FROZEN MEALS,FROZEN,FROZEN,"Mini Bars TALENTI   FROZEN MEALS, FROZEN"
Thomas'® Bagel Thins,,THOMAS,BAKERY,Bagel Thins,BAKERY,DELI & BAKERY,,"Bagel Thins THOMAS   BAKERY, BAKERY"
"Thomas'® Bagel Thins®, buy 2",,THOMAS,BAKERY,Bagel,BAKERY,DELI & BAKERY,,"Bagel THOMAS   BAKERY, BAKERY"
"Thomas'®, select varieties, spend $10",,THOMAS,BREAD,,BREAD,PANTRY,," THOMAS   BREAD, BREAD"
Tostitos® Toppers™,,TOSTITOS,CHIPS,,CHIPS,SNACKS,," TOSTITOS   CHIPS, CHIPS"
"Tyson Products, select varieties, spend $20 at Sam's Club",SAMS CLUB,BALL PARK FRANK,PACKAGED MEAT,Tyson Products,PACKAGED MEAT,PANTRY,,"Tyson Products BALL PARK FRANK SAMS CLUB PACKAGED MEAT, PACKAGED MEAT"
Visit OR order online from Casey's 3 times,CASEYS GENERAL STORE,CASEYS GENERAL STORE,COOKING & BAKING,Visit Order Online Times,COOKING & BAKING,PANTRY,,"Visit Order Online Times CASEYS GENERAL STORE CASEYS GENERAL STORE COOKING & BAKING, COOKING & BAKING"
Visit OR order online from Casey's 5 times,CASEYS GENERAL STORE,CASEYS GENERAL STORE,COOKING & BAKING,Visit Order Online Times,COOKING & BAKING,PANTRY,,"Visit Order Online Times CASEYS GENERAL STORE CASEYS GENERAL STORE COOKING & BAKING, COOKING & BAKING"
Visit OR order online from Casey's 7 times,CASEYS GENERAL STORE,CASEYS GENERAL STORE,COOKING & BAKING,Visit Order Online Times,COOKING & BAKING,PANTRY,,"Visit Order Online Times CASEYS GENERAL STORE CASEYS GENERAL STORE COOKING & BAKING, COOKING & BAKING"
Whole Pizza Pie at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,FROZEN PIZZA & PIZZA SNACKS,Whole Pizza Pie,FROZEN PIZZA & PIZZA SNACKS,FROZEN,FROZEN,"Whole Pizza Pie CASEYS GENERAL STORE CASEYS GENERAL STORE FROZEN PIZZA & PIZZA SNACKS, FROZEN"
Whole Pizza at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,FROZEN PIZZA & PIZZA SNACKS,Whole Pizza,FROZEN PIZZA & PIZZA SNACKS,FROZEN,FROZEN,"Whole Pizza CASEYS GENERAL STORE CASEYS GENERAL STORE FROZEN PIZZA & PIZZA SNACKS, FROZEN"
Whole Pizza at Casey's ,CASEYS GENERAL STORE,CASEYS GENERAL STORE,FROZEN PIZZA & PIZZA SNACKS,Whole Pizza,FROZEN PIZZA & PIZZA SNACKS,FROZEN,FROZEN,"Whole Pizza CASEYS GENERAL STORE CASEYS GENERAL STORE FROZEN PIZZA & PIZZA SNACKS, FROZEN"
Whole pizza at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,FROZEN PIZZA & PIZZA SNACKS,Whole Pizza,FROZEN PIZZA & PIZZA SNACKS,FROZEN,FROZEN,"Whole Pizza CASEYS GENERAL STORE CASEYS GENERAL STORE FROZEN PIZZA & PIZZA SNACKS, FROZEN"
Wings OR Cheesy Breadsticks at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,COOKING & BAKING,Wings Cheesy Breadsticks,COOKING & BAKING,PANTRY,,"Wings Cheesy Breadsticks CASEYS GENERAL STORE CASEYS GENERAL STORE COOKING & BAKING, COOKING & BAKING"
